=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 17:13:45 =~=~=~=~=~=~=~=~=~=~=~=,
812,
,
149,0
97164,0.04
97177,0
97190,0.28
97204,0.04
97218,0
97231,0
97245,0.1
97258,0.33
97271,0
949,0
97164,0.04
97177,0
97190,0.28
97204,0.04
97218,0
97231,0
97245,0.1
97258,0.33
97271,0
90,0
0,0
1,0
1,0
1,0
2,0
2,0
3,0
7,0
16,0
26,0
36,0.35
48,0
58,0
68,0.06
78,0.29
89,0.23
99,0
110,0
121,0.3
133,0.05
144,0.11
155,0
166,0
179,0.05
190,0.32
201,0
212,0.24
224,0.27
235,0.18
247,0.18
259,0.22
270,0.34
281,0.11
292,0
304,0.22
316,0.05
327,0.12
338,0.14
350,0.14
361,0.01
373,0
385,0
396,0
407,0
418,0
430,0
442,0
453,0.21
464,0.14
476,0.04
487,0
498,0.25
510,0.25
522,0.05
533,0.22
544,0.12
556,0.21
567,0.3
579,0.01
590,0.25
602,0.22
613,0.11
624,0.06
635,0.08
648,0.16
659,0.3
670,0.12
681,0.01
693,0.27
704,0
716,0.2
728,0.02
739,0.25
750,0
761,0
774,0
785,0
796,0
807,0
819,0
830,0.37
842,0.01
854,0.36
865,0.37
876,0.02
887,0
899,0.24
911,0
922,0
933,0
945,0.08
956,0.3
967,0.1
979,0
991,0.12
1002,0.24
1014,0.19
1027,0.03
1040,0
1052,0
1064,0
1077,0
1089,0.03
1101,0.15
1115,0.32
1127,0.09
1139,0
1152,0
1164,0
1177,0
1189,0
1202,0
1214,0
1226,0.02
1240,0.03
1252,0
1264,0
1276,0.05
1289,0.02
1301,0.04
1314,0.08
1327,0.36
1339,0.31
1351,0.01
1363,0.09
1377,0.21
1389,0.16
1401,0
1414,0.02
1426,0.14
1439,0.19
1452,0.13
1464,0.03
1476,0
1488,0.09
1501,0.26
1514,0.16
1526,0
1539,0
1551,0
1563,0
1576,0
1589,0
1601,0.03
1613,0.21
1626,0.06
1639,0.06
1651,0.08
1664,0.01
1676,0.15
1688,0.04
1700,0.32
1714,0.28
1726,0.38
1738,0
1751,0.16
1763,0.02
1776,0.32
1788,0.15
1801,0.05
1813,0.02
1825,0.02
1839,0.06
1851,0.15
1863,0.28
1875,0.22
1888,0
1900,0
1913,0
1926,0
1938,0.29
1950,0.06
1963,0.07
1976,0.25
1988,0.08
2000,0
2013,0.24
2025,0
2038,0.19
2051,0.05
2063,0.06
2075,0.01
2087,0.18
2100,0.07
2113,0
2125,0.22
