=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 17:12:06 =~=~=~=~=~=~=~=~=~=~=~=,
13193,0
11111388,0.08
111404,0.28
111418,0.08
111432,0.08
111447,0.27
111462,0
111476,0
111491,0
111505,0
11150,0
0,0.26
1,0.2
1,0
2,0.1
2,0.29
2,0.07
3,0
7,0.17
16,0.32
26,0.32
36,0.1
48,0
58,0.11
68,0.37
78,0.01
89,0.35
99,0.05
110,0.11
121,0.03
133,0.31
144,0
155,0.26
166,0
179,0.32
190,0
201,0
212,0
224,0
235,0.09
247,0
259,0.19
270,0.07
281,0
292,0.12
304,0
316,0.35
327,0.34
338,0
350,0.16
361,0.35
373,0.09
385,0
396,0.33
407,0.05
418,0
430,0.09
442,0.16
453,0.09
464,0
476,0.02
487,0.21
498,0.21
510,0.03
522,0.32
533,0
544,0.33
556,0.03
567,0
579,0
590,0
602,0
613,0
624,0.22
635,0.05
648,0.23
659,0
670,0.2
681,0.05
693,0.21
704,0.23
716,0.09
728,0.22
739,0.14
750,0.22
761,0.23
774,0.03
785,0.11
796,0.28
807,0.15
819,0.11
830,0.14
842,0.23
854,0.37
865,0.01
876,0.07
887,0.35
899,0
911,0.28
922,0
933,0.34
945,0.05
956,0
967,0
979,0
991,0
1002,0
1014,0.03
1027,0.07
1040,0
1052,0
1064,0.25
1077,0.33
1089,0.01
1101,0
1115,0.17
1127,0
1139,0.27
1152,0.28
1164,0.05
1177,0.04
1189,0.38
1202,0.06
1214,0.02
1226,0.31
1240,0.32
1252,0.29
1264,0.31
1276,0.36
1289,0.17
1301,0
1314,0.06
1327,0
1339,0
1351,0
1363,0
1377,0.04
1389,0
1401,0
1414,0.39
1426,0.03
1439,0.37
1452,0.33
1464,0
1476,0
1488,0
1501,0.35
1514,0.15
1526,0.11
1539,0.21
1551,0.28
1563,0.01
1576,0.34
1589,0.15
1601,0.01
1613,0
1626,0.01
1639,0.01
1651,0
1664,0.01
1676,0.11
1688,0.28
1700,0
1714,0
1726,0
1738,0
1751,0.1
1763,0
1776,0
1788,0.36
1801,0
1813,0.14
1825,0.07
1839,0.34
1851,0.25
1863,0.38
1875,0
1888,0.09
1900,0.26
1913,0.07
1926,0
1938,0.25
1950,0
1963,0.34
1976,0.22
1988,0.11
2000,0.05
2013,0.05
2025,0.09
2038,0.18
2051,0.3
2063,0.15
2075,0
2087,0
2100,0
2113,0
2125,0
2138,0
2150,0
2162,0.1
2176,0.19
2188,0.33
2200,0.01
2212,0.11
2225,0
2238,0.01
2250,0.04
2263,0.11
2275,0.33
2287,0.33
2299,0.18
2313,0
2325,0.32
2337,0.02
2350,0.07
2362,0.38
2375,0.29
2387,0.26
2400,0.28
2412,0.34
2424,0.21
2438,0.01
2450,0.05
2462,0
2475,0
2487,0
2499,0.07
2512,0.32
2525,0
2537,0.03
2549,0.28
2562,0.39
2575,0.19
2587,0.25
2599,0.22
2612,0.29
2624,0.01
2637,0.32
2650,0.21
2662,0.27
2674,0.24
2686,0
2699,0.35
2712,0.08
2724,0
2737,0.13
2749,0.31
2761,0.35
2775,0.25
2787,0.09
2799,0
2811,0.06
2824,0.24
2837,0
2849,0
2862,0
2874,0
2886,0
2898,0
2912,0.13
2924,0.02
2936,0
2949,0
2961,0.16
2974,0.03
2987,0.14
2999,0.12
3011,0.25
3023,0.18
3037,0.26
3049,0.2
3061,0.03
3074,0.31
3086,0.15
3098,0.01
3111,0.02
3124,0.08
3136,0.08
3148,0.03
3161,0
3174,0.05
3186,0.21
3198,0.36
3211,0
3223,0
3236,0
3249,0.24
3261,0
3273,0
3286,0
3298,0.31
3311,0
3323,0
3336,0.27
3348,0.18
3360,0.36
3374,0
3386,0.01
3398,0.07
3410,0
3423,0.09
3436,0.3
3448,0.1
3461,0
3473,0.27
3485,0.32
3497,0.28
3511,0.29
3523,0.33
3535,0.25
3548,0.01
3560,0.02
3573,0
3586,0
3598,0
3610,0
3622,0.03
3636,0.35
3648,0.37
3660,0
3673,0.32
3685,0.01
3697,0.08
3710,0.03
3723,0
3735,0.04
3747,0.36
3760,0.16
3773,0.1
3785,0.18
3798,0.38
3810,0
3822,0.35
3835,0.09
3848,0
3860,0.05
3872,0.14
3885,0.15
3897,0.07
3910,0
3922,0.01
3935,0.16
3947,0.35
3959,0
3973,0
3985,0
3997,0
4009,0.28
4022,0.02
4035,0.22
4047,0
4060,0.29
4072,0.29
4084,0
4097,0
4110,0.01
4122,0.37
4134,0.17
4147,0.13
4159,0.23
4172,0.2
4185,0.04
4197,0.19
4209,0.2
4221,0.04
4235,0
4247,0
4259,0
4272,0
4284,0.04
4296,0.17
4310,0.33
4322,0
4334,0
4346,0
4359,0
4372,0
4384,0.02
4397,0.23
4409,0.17
4421,0.06
4434,0.01
4447,0
4459,0.33
4471,0.32
4484,0.05
4496,0.21
4509,0.06
4521,0.06
4534,0.19
4546,0.22
4558,0.04
4572,0.15
4584,0.25
4596,0.1
4609,0.02
4621,0
4634,0.01
4646,0.06
4659,0.16
4671,0.31
4683,0.15
4696,0
4709,0
4721,0
4733,0
4746,0.34
4758,0.35
4771,0.13
4784,0.15
4796,0.08
4808,0
4820,0
4834,0.26
4846,0.27
4858,0
4871,0.34
4883,0.2
4895,0.21
4909,0.34
4921,0.01
4933,0.2
4945,0
4958,0.28
4971,0.27
4983,0.18
4996,0.15
5008,0.18
5020,0.24
5033,0.34
5046,0.1
5058,0
5070,0
5083,0
5095,0
5108,0
5121,0.2
5133,0.28
5145,0.31
5157,0.36
5171,0.37
5183,0.08
5195,0.26
5208,0.01
5220,0.02
5233,0.28
5245,0
5258,0
5270,0
5282,0.03
5295,0.28
5308,0
5320,0.34
5332,0.13
5345,0.01
5357,0
5370,0
5383,0
5395,0.01
5407,0.09
5420,0.23
5433,0.3
5445,0
5457,0
5470,0
5482,0
5494,0
5508,0.11
5520,0
5532,0.15
5544,0.25
5557,0
5570,0
5582,0.37
5595,0.31
5607,0.08
5619,0.15
5633,0.01
5645,0
5657,0.09
5669,0.32
5682,0
5694,0.33
5707,0.1
5720,0
5732,0
5744,0.04
5756,0.02
5770,0
5782,0
5794,0.12
5807,0.29
5819,0
5832,0
5844,0
5857,0
5869,0.08
5881,0.09
5894,0
5907,0
5919,0
5932,0.32
5944,0.18
5956,0.13
5969,0.13
5982,0.38
5994,0.04
6006,0
6019,0
6032,0.05
6044,0.3
6056,0
6069,0.34
6081,0.12
6093,0
6107,0
6119,0.02
6131,0.01
6144,0
6156,0.05
6169,0.19
6181,0.36
6194,0
6206,0
6218,0
6232,0
6244,0
6256,0.28
6268,0.24
6281,0
6293,0.04
6306,0.24
6319,0.13
6331,0.21
6343,0.27
6355,0.38
6369,0
6381,0.19
6393,0.37
6406,0.22
6418,0
6431,0.18
6444,0.02
6456,0.31
6468,0.11
6480,0.01
6493,0
6506,0
6518,0
6531,0.05
6543,0.17
6555,0.33
6568,0.09
6581,0
6593,0
6605,0
6618,0
6631,0
6643,0
6656,0
6668,0
6680,0
6692,0.01
6706,0.25
6718,0.35
6730,0.1
6743,0.1
6755,0.35
6768,0.04
6780,0
6793,0
6805,0.05
6817,0.29
6831,0
6843,0.34
6855,0.12
6867,0
6880,0
6892,0
6905,0
6918,0
6930,0.06
6942,0.2
6955,0.38
6968,0
6980,0
6992,0
7005,0
7017,0
7030,0
7043,0.05
7055,0
7067,0.34
7079,0.01
7092,0.2
7105,0
7117,0
7130,0
7142,0.28
7154,0.04
7168,0
7180,0.04
7192,0.23
7204,0.04
7217,0.18
7230,0
7242,0.17
7255,0.34
7267,0.28
7279,0.27
7291,0.32
7305,0.35
7317,0.07
7329,0
7342,0.14
7354,0
7367,0
7379,0
7392,0.36
7404,0.14
7416,0
7430,0.2
7442,0
7454,0.16
7467,0.13
7479,0.11
7491,0.39
7504,0.06
7517,0.13
7529,0
7541,0
7554,0
7567,0.17
7579,0.12
7591,0.15
7604,0
7616,0.16
7629,0.35
7642,0.3
7654,0.3
7666,0.34
7678,0.23
7691,0.01
7704,0.02
7716,0
7729,0
7741,0
7753,0
7767,0.29
7779,0
7791,0.12
7803,0.29
7816,0.08
7829,0.06
7841,0.03
7854,0.2
7866,0.13
7878,0.35
7890,0
7904,0.01
7916,0.04
7928,0
7941,0.14
7953,0.14
7966,0.16
7979,0
7991,0.09
8003,0.33
8015,0.36
8029,0.36
8041,0.26
8053,0.05
8066,0
8078,0.11
8090,0
8103,0
8116,0
8128,0
8140,0.13
8153,0.28
8166,0
8178,0
8190,0
8203,0.26
8215,0.37
8228,0.04
8241,0.02
8253,0.24
8265,0
8278,0.07
8290,0.11
8303,0
8315,0.11
8328,0.19
8340,0.15
8352,0
8366,0.08
8378,0.31
8390,0.37
8402,0.36
8415,0.2
8428,0.03
8440,0
8453,0.13
8465,0
8477,0
8489,0
8503,0.31
8515,0.15
8527,0
8540,0
8552,0.21
8565,0.28
8578,0
8590,0.02
8602,0.14
8614,0.24
8628,0
8640,0.3
8652,0.13
8665,0.12
8677,0.25
8689,0.13
8702,0.08
8715,0.06
8727,0.28
8739,0.12
8752,0.04
8765,0.02
8777,0.02
8790,0.07
8802,0.17
8814,0.3
8827,0.14
8840,0
8852,0
8864,0
8877,0.27
8889,0.12
8902,0
8914,0
8927,0.23
8939,0.28
8951,0
8965,0.01
8977,0.13
8989,0.22
9001,0
9014,0.31
9027,0.13
9039,0.13
9052,0.26
9064,0.11
9076,0.09
9089,0.05
9102,0.29
9114,0.12
9126,0.04
9139,0.02
9151,0.02
9164,0.08
9177,0.17
9189,0.31
9201,0.12
9213,0
9227,0
9239,0
9251,0
9264,0.17
9276,0.18
9288,0
9302,0
9314,0
9326,0.3
9338,0.02
9351,0.23
9364,0.22
9376,0.15
9389,0.13
9401,0.01
9413,0.01
9426,0.13
9439,0.38
9451,0
9463,0.28
9476,0.2
9488,0.05
9501,0
9513,0
9526,0
9538,0.02
9550,0.11
9564,0.24
9576,0.28
9588,0
9601,0
9613,0
9626,0
9638,0.11
9651,0.12
9663,0
9675,0
9688,0
9701,0.36
9713,0.11
9725,0.16
9738,0.16
9750,0.33
9763,0.07
9776,0
9788,0
9800,0.07
9812,0.31
9826,0
9838,0.36
9850,0.13
9863,0
