=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 17:19:15 =~=~=~=~=~=~=~=~=~=~=~=
258,0
204791,0.24,
204806,0.22,
204820,0.31,
20,0.04,
0,0.03,
1,0.37,
1,0.21,
2,0.04,
2,0.00,
2,0.38,
3,0.21,
7,0.11,
16,0.24,
26,0.00,
36,0.00,
48,0.00,
58,0.00,
68,0.00,
78,0.00,
89,0.02,
99,0.00,
110,0.00,
121,0.00,
133,0.18,
144,0.00,
155,0.02,
166,0.00,
179,0.25,
190,0.05,
201,0.03,
212,0.15,
224,0.29,
235,0.05,
247,0.04,
259,0.34,
270,0.25,
281,0.22,
292,0.26,
304,0.36,
316,0.07,
327,0.00,
338,0.22,
350,0.11,
361,0.09,
373,0.24,
385,0.08,
396,0.14,
407,0.00,
418,0.00,
430,0.00,
442,0.29,
453,0.04,
464,0.00,
476,0.17,
487,0.18,
498,0.00,
510,0.00,
522,0.36,
533,0.35,
544,0.00,
556,0.32,
567,0.22,
579,0.29,
590,0.12,
602,0.06,
613,0.08,
624,0.28,
635,0.14,
648,0.09,
659,0.10,
670,0.18,
681,0.31,
693,0.11,
704,0.00,
716,0.24,
728,0.05,
739,0.14,
750,0.08,
761,0.17,
774,0.00,
785,0.00,
796,0.00,
807,0.00,
819,0.00,
830,0.00,
842,0.37,
854,0.11,
865,0.00,
876,0.00,
887,0.00,
899,0.16,
911,0.03,
922,0.18,
933,0.00,
945,0.38,
956,0.38,
967,0.07,
979,0.05,
991,0.26,
1002,0.16,
1014,0.20,
1027,0.10,
1040,0.00,
1052,0.37,
1064,0.24,
1077,0.16,
1089,0.15,
1101,0.18,
1115,0.26,
1127,0.37,
1139,0.06,
1152,0.00,
1164,0.00,
1177,0.00,
1189,0.00,
1202,0.00,
1214,0.21,
1226,0.37,
1240,0.19,
1252,0.24,
1264,0.19,
1276,0.00,
1289,0.04,
1301,0.04,
1314,0.05,
1327,0.01,
1339,0.20,
1351,0.30,
1363,0.30,
1377,0.27,
1389,0.00,
1401,0.27,
1414,0.00,
1426,0.17,
1439,0.32,
1452,0.21,
1464,0.17,
1476,0.19,
1488,0.24,
1501,0.33,
1514,0.18,
1526,0.00,
1539,0.00,
1551,0.00,
1563,0.00,
1576,0.00,
1589,0.00,
1601,0.32,
1613,0.11,
1626,0.00,
1639,0.00,
1651,0.00,
1664,0.04,
1676,0.00,
1688,0.00,
1700,0.19,
1714,0.00,
1726,0.03,
1738,0.00,
1751,0.02,
1763,0.28,
1776,0.00,
1788,0.35,
1801,0.14,
1813,0.02,
1825,0.00,
1839,0.00,
1851,0.00,
1863,0.00,
1875,0.08,
1888,0.21,
1900,0.38,
1913,0.00,
1926,0.00,
1938,0.00,
1950,0.07,
1963,0.00,
1976,0.13,
1988,0.10,
2000,0.23,
2013,0.23,
2025,0.00,
2038,0.14,
2051,0.00,
2063,0.00,
2075,0.17,
2087,0.00,
2100,0.11,
2113,0.11,
2125,0.00,
2138,0.13,
2150,0.13,
2162,0.19,
2176,0.00,
2188,0.03,
2200,0.21,
2212,0.32,
2225,0.28,
2238,0.13,
2250,0.00,
2263,0.01,
2275,0.15,
2287,0.00,
2299,0.00,
2313,0.00,
2325,0.00,
2337,0.16,
2350,0.32,
2362,0.00,
2375,0.11,
2387,0.32,
2400,0.20,
2412,0.08,
2424,0.32,
2438,0.28,
2450,0.00,
2462,0.14,
2475,0.36,
2487,0.22,
2499,0.00,
2512,0.16,
2525,0.06,
2537,0.26,
2549,0.06,
2562,0.00,
2575,0.00,
2587,0.01,
2599,0.00,
2612,0.00,
2624,0.05,
2637,0.19,
2650,0.36,
2662,0.00,
2674,0.00,
2686,0.00,
2699,0.00,
2712,0.00,
2724,0.01,
2737,0.05,
2749,0.23,
2761,0.27,
2775,0.04,
2787,0.24,
2799,0.01,
2811,0.03,
2824,0.30,
2837,0.02,
2849,0.00,
2862,0.00,
2874,0.05,
2886,0.31,
2898,0.00,
2912,0.37,
2924,0.14,
2936,0.01,
2949,0.00,
2961,0.00,
2974,0.00,
2987,0.00,
2999,0.05,
3011,0.19,
3023,0.35,
3037,0.00,
3049,0.00,
3061,0.00,
3074,0.00,
3086,0.00,
3098,0.00,
3111,0.11,
3124,0.04,
3136,0.00,
3148,0.00,
3161,0.09,
3174,0.00,
3186,0.04,
3198,0.37,
3211,0.11,
3223,0.04,
3236,0.10,
3249,0.27,
3261,0.01,
3273,0.20,
3286,0.00,
3298,0.18,
3311,0.33,
3323,0.26,
3336,0.24,
3348,0.27,
3360,0.33,
3374,0.22,
3386,0.01,
3398,0.08,
3410,0.00,
3423,0.00,
3436,0.00,
3448,0.04,
3461,0.03,
3473,0.00,
3485,0.00,
3497,0.00,
3511,0.20,
3523,0.32,
3535,0.01,
3548,0.00,
3560,0.20,
3573,0.00,
3586,0.20,
3598,0.20,
3610,0.03,
3622,0.06,
3636,0.36,
3648,0.08,
3660,0.02,
3673,0.33,
3685,0.31,
3697,0.26,
3710,0.27,
3723,0.32,
3735,0.34,
3747,0.06,
3760,0.00,
3773,0.00,
3785,0.00,
3798,0.00,
3810,0.00,
3822,0.00,
3835,0.17,
3848,0.07,
3860,0.00,
3872,0.00,
3885,0.08,
3897,0.00,
3910,0.12,
3922,0.05,
3935,0.03,
3947,0.11,
3959,0.37,
3973,0.37,
3985,0.03,
3997,0.06,
4009,0.30,
4022,0.12,
4035,0.00,
4047,0.10,
4060,0.33,
4072,0.37,
4084,0.37,
4097,0.21,
4110,0.03,
4122,0.00,
4134,0.12,
4147,0.00,
4159,0.00,
4172,0.00,
4185,0.00,
4197,0.27,
4209,0.00,
4221,0.39,
4235,0.10,
4247,0.12,
4259,0.07,
4272,0.10,
4284,0.02,
4296,0.20,
4310,0.00,
4322,0.38,
4334,0.34,
4346,0.27,
4359,0.00,
4372,0.21,
4384,0.00,
4397,0.36,
4409,0.18,
4421,0.07,
4434,0.02,
4447,0.02,
4459,0.05,
4471,0.12,
4484,0.24,
4496,0.36,
4509,0.00,
4521,0.00,
4534,0.00,
4546,0.00,
4558,0.37,
4572,0.00,
4584,0.00,
4596,0.35,
4609,0.34,
4621,0.23,
4634,0.00,
4646,0.03,
4659,0.05,
4671,0.08,
4683,0.00,
4696,0.39,
4709,0.22,
4721,0.21,
4733,0.34,
4746,0.02,
4758,0.17,
4771,0.00,
4784,0.36,
4796,0.20,
4808,0.09,
4820,0.05,
4834,0.06,
4846,0.10,
4858,0.20,
4871,0.33,
4883,0.12,
4895,0.00,
4909,0.00,
4921,0.00,
4933,0.00,
4945,0.00,
4958,0.01,
4971,0.00,
4983,0.04,
4996,0.00,
5008,0.02,
5020,0.23,
5033,0.36,
5046,0.09,
5058,0.10,
5070,0.35,
5083,0.03,
5095,0.00,
5108,0.00,
5121,0.03,
5133,0.28,
5145,0.00,
5157,0.31,
5171,0.08,
5183,0.00,
5195,0.04,
5208,0.09,
5220,0.08,
5233,0.02,
5245,0.00,
5258,0.08,
5270,0.25,
5282,0.00,
5295,0.00,
5308,0.00,
5320,0.00,
5332,0.22,
5345,0.11,
5357,0.36,
5370,0.00,
5383,0.00,
5395,0.00,
5407,0.04,
5420,0.00,
5433,0.00,
5445,0.23,
5457,0.00,
5470,0.00,
5482,0.00,
5494,0.07,
5508,0.34,
5520,0.00,
5532,0.29,
5544,0.21,
5557,0.07,
5570,0.01,
5582,0.00,
5595,0.01,
