=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 16:55:29 =~=~=~=~=~=~=~=~=~=~=~=,,,
7,0..04,,
102842,0.07,,
102856,0,,
102871,0,0,0
0,0.35,,
1,0.21,,
1,0.05,,
2,0.02,,
2,0.31,,
2,0.23,,
3,0.06,,
7,0,,
16,0.06,,
26,0,,
36,0,,
48,0,,
58,0,,
68,0.09,,
78,0,,
89,0.01,,
99,0.13,,
110,0.28,,
121,0.25,,
133,0.19,,
144,0.24,,
155,0.23,,
166,0.33,,
179,0,,
190,0.19,,
201,0.33,,
212,0.05,,
224,0.02,,
235,0.38,,
247,0.1,,
259,0,,
270,0.04,,
281,0.1,,
292,0.05,,
304,0,,
316,0.03,,
327,0.21,,
338,0.24,,
350,0.01,,
361,0.29,,
373,0,,
385,0.27,,
396,0,,
407,0,,
418,0,,
430,0,,
442,0,,
453,0,,
464,0,,
476,0.12,,
487,0.04,,
498,0.18,,
510,0.23,,
522,0.02,,
533,0.28,,
544,0.07,,
556,0.19,,
567,0.02,,
579,0.33,,
590,0.29,,
602,0.32,,
613,0,,
624,0.27,,
635,0.01,,
648,0.05,,
659,0.24,,
670,0.33,,
681,0.24,,
693,0.07,,
704,0,,
716,0.13,,
728,0.36,,
739,0,,
750,0.21,,
761,0.04,,
774,0.2,,
785,0,,
796,0,,
807,0,,
819,0,,
830,0,,
842,0.12,,
854,0,,
865,0,,
876,0.33,,
887,0.17,,
899,0.18,,
911,0.2,,
922,0.22,,
933,0.22,,
945,0.32,,
956,0,,
967,0.22,,
979,0.35,,
991,0.08,,
1002,0.01,,
1014,0.05,,
1027,0.23,,
1040,0.09,,
1052,0.14,,
1064,0,,
1077,0.33,,
1089,0.27,,
1101,0.19,,
1115,0.17,,
1127,0.19,,
1139,0.26,,
1152,0.36,,
1164,0.08,,
1177,0,,
1189,0,,
1202,0,,
1214,0,,
1226,0.23,,
1240,0,,
1252,0,,
1264,0,,
1276,0.01,,
1289,0.11,,
1301,0.16,,
1314,0.3,,
1327,0,,
1339,0,,
1351,0.22,,
1363,0,,
1377,0.11,,
1389,0.14,,
1401,0,,
1414,0.09,,
1426,0.29,,
1439,0.11,,
1452,0,,
1464,0.22,,
1476,0.33,,
1488,0.28,,
1501,0.29,,
1514,0.33,,
1526,0.27,,
1539,0.03,,
1551,0,,
1563,0,,
1576,0,,
1589,0,,
1601,0,,
1613,0,,
1626,0.14,,
1639,0.28,,
1651,0.1,,
1664,0.14,,
1676,0.08,,
1688,0,,
1700,0,,
1714,0.29,,
1726,0.32,,
1738,0,,
1751,0.32,,
1763,0.15,,
1776,0.14,,
1788,0.28,,
1801,0.07,,
1813,0.11,,
1825,0.06,,
1839,0.3,,
1851,0.13,,
1863,0.03,,
1875,0.01,,
1888,0,,
1900,0.04,,
1913,0.12,,
1926,0.25,,
1938,0.34,,
