=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 17:23:33 =~=~=~=~=~=~=~=~=~=~=~=,
,
1,
135121,0.23
135136,0.02
,
135019,0
135034,0.2
135049,0.18
135063,0.08
135077,0.31
135093,0.35
135107,0
135121,0.23
135136,0.02
0,0.03
0,0.08
1,0
1,0
1,0
2,0
2,0
3,0
7,0
16,0
26,0
36,0
48,0.31
58,0.11
68,0
78,0.18
89,0
99,0
110,0.32
121,0
133,0
144,0.03
155,0.18
166,0.32
179,0.34
190,0.06
201,0.07
212,0.15
224,0.24
235,0.09
247,0.04
259,0.03
270,0.09
281,0.21
292,0.39
304,0.01
316,0.13
327,0.25
338,0.04
350,0.37
361,0.06
373,0.14
385,0
396,0
407,0
418,0.36
430,0
442,0
453,0
464,0.16
476,0.24
487,0.06
498,0.34
510,0.18
522,0.31
533,0
544,0.13
556,0.16
567,0.01
579,0.1
590,0.11
602,0.22
613,0.05
624,0
635,0
648,0.01
659,0.09
670,0.25
681,0.19
693,0
704,0.25
716,0.02
728,0.2
739,0
750,0.26
761,0
774,0
785,0
796,0
807,0.02
819,0
830,0.07
842,0
854,0
865,0.31
876,0.18
887,0.16
899,0.21
911,0.08
922,0.26
933,0.19
945,0.27
956,0.11
967,0.09
979,0.02
991,0.34
1002,0.22
1014,0
1027,0.3
1040,0.26
1052,0.17
1064,0.12
1077,0.14
1089,0.2
1101,0.3
1115,0.28
1127,0.01
1139,0
1152,0
1164,0
1177,0
1189,0
1202,0.31
1214,0
1226,0.24
1240,0.18
1252,0.03
1264,0
1276,0.19
1289,0.12
1301,0.31
1314,0
1327,0.09
1339,0.12
1351,0.02
1363,0.05
1377,0.37
1389,0.05
1401,0.05
1414,0.36
1426,0.26
1439,0.21
1452,0.21
1464,0.26
1476,0.35
1488,0.15
1501,0
1514,0
1526,0
1539,0
1551,0.31
1563,0
1576,0
1589,0.38
1601,0.11
1613,0
1626,0.22
1639,0.25
1651,0
1664,0.02
1676,0
1688,0.35
1700,0.16
1714,0.12
1726,0.22
1738,0.21
1751,0.02
1763,0.27
1776,0.18
1788,0.02
1801,0
1813,0.01
1825,0.01
1839,0
1851,0.01
1863,0.11
1875,0.27
1888,0.2
1900,0
1913,0
1926,0
1938,0.32
1950,0.22
1963,0.24
1976,0
1988,0.2
2000,0.23
2013,0.36
2025,0
2038,0.06
2051,0
2063,0.22
2075,0.01
2087,0
2100,0.01
2113,0.18
2125,0.15
2138,0.12
2150,0
2162,0.32
2176,0.28
2188,0.21
2200,0.2
2212,0.24
2225,0.32
2238,0.25
2250,0
2263,0.05
2275,0
2287,0
2299,0
2313,0
2325,0
2337,0
2350,0.11
2362,0.03
2375,0
2387,0
2400,0.12
2412,0
2424,0.09
2438,0.26
2450,0.19
2462,0.11
2475,0.18
2487,0.37
2499,0
2512,0.31
2525,0.04
2537,0.03
2549,0.22
2562,0.38
2575,0.37
2587,0.35
2599,0.15
2612,0.01
2624,0.03
2637,0.2
2650,0
2662,0
2674,0
2686,0
2699,0
2712,0.03
2724,0.06
2737,0
2749,0
2761,0.2
2775,0.27
2787,0
2799,0
2811,0.07
2824,0.11
2837,0.31
2849,0.28
2862,0.37
2874,0
2886,0.2
2898,0
2912,0.38
2924,0.21
2936,0.11
2949,0.06
2961,0.07
2974,0.11
2987,0.21
2999,0.33
3011,0.12
3023,0
3037,0
3049,0
3061,0
3074,0
3086,0
3098,0.23
3111,0.1
3124,0
3136,0.39
3148,0.18
3161,0.09
3174,0.05
3186,0.26
3198,0
3211,0.12
3223,0.14
3236,0.02
3249,0.06
3261,0.36
3273,0.07
3286,0.02
3298,0.35
3311,0.3
3323,0.25
3336,0.26
3348,0.31
3360,0.36
3374,0.07
3386,0
3398,0
3410,0
3423,0
3436,0
3448,0
3461,0.03
3473,0
3485,0.03
3497,0
3511,0.01
3523,0.26
3535,0.26
3548,0.13
3560,0.15
3573,0.33
3586,0.08
3598,0
3610,0
3622,0.1
3636,0.35
3648,0
3660,0.35
3673,0.17
3685,0.03
3697,0
3710,0
3723,0
3735,0
3747,0.07
3760,0.2
3773,0.37
3785,0
3798,0
3810,0
3822,0
3835,0.33
3848,0
3860,0.19
3872,0.25
3885,0.04
3897,0.18
3910,0.11
3922,0.11
3935,0.06
3947,0.25
3959,0
3973,0.16
3985,0.26
3997,0.04
4009,0.02
4022,0.33
4035,0.02
4047,0.08
4060,0.33
4072,0.22
4084,0.17
4097,0.17
4110,0.22
4122,0.31
4134,0.23
4147,0
4159,0
4172,0
4185,0
4197,0
4209,0
4221,0
4235,0.34
4247,0.35
4259,0
4272,0
4284,0.35
4296,0
4310,0.37
4322,0.29
4334,0
4346,0.36
4359,0.28
4372,0.31
4384,0.16
4397,0
4409,0.34
4421,0.05
4434,0.01
4447,0.28
4459,0.33
4471,0.31
4484,0.32
4496,0.36
4509,0.11
4521,0
4534,0.08
4546,0
4558,0
4572,0
4584,0
4596,0.2
4609,0
4621,0
4634,0.13
4646,0.22
4659,0.03
4671,0.25
4683,0.04
4696,0.08
4709,0.39
4721,0.09
4733,0
4746,0.02
4758,0.17
4771,0.21
4784,0.07
4796,0.09
4808,0.3
4820,0.15
4834,0.08
4846,0.05
4858,0.07
4871,0.14
4883,0.24
4895,0.38
4909,0.03
4921,0
4933,0
4945,0
4958,0.06
4971,0
4983,0
4996,0.14
5008,0.09
5020,0
5033,0.03
5046,0.02
5058,0
5070,0
5083,0.27
5095,0.02
5108,0
5121,0
5133,0.15
5145,0.26
5157,0.07
5171,0.04
5183,0.32
5195,0.19
5208,0.11
5220,0.1
5233,0.12
5245,0.2
5258,0.32
5270,0.19
5282,0
5295,0
5308,0
5320,0
5332,0.18
5345,0
5357,0.32
5370,0.29
5383,0.3
5395,0.28
5407,0.16
5420,0.36
5433,0.09
5445,0.11
5457,0.38
5470,0.07
5482,0
5494,0
5508,0.11
5520,0.37
5532,0
5544,0.3
5557,0.2
5570,0.05
5582,0
5595,0
5607,0
5619,0.02
5633,0.1
5645,0.23
5657,0.35
5669,0
5682,0
5694,0
5707,0.02
5720,0
5732,0
5744,0.2
5756,0
5770,0.07
5782,0.01
5794,0.02
5807,0.34
5819,0.31
5832,0.16
5844,0.08
5857,0
5869,0.01
5881,0
5894,0.13
5907,0.22
5919,0.1
5932,0
5944,0.31
5956,0.29
5969,0.23
5982,0.23
5994,0.27
6006,0.34
6019,0.15
6032,0
6044,0
6056,0
6069,0
6081,0.01
6093,0
6107,0
6119,0.23
6131,0.1
6144,0
6156,0.38
6169,0.2
6181,0.08
6194,0.04
6206,0.24
6218,0
6232,0.16
6244,0.2
6256,0.03
6268,0.04
6281,0.36
6293,0.04
6306,0.06
6319,0.36
6331,0.25
6343,0.21
6355,0.21
6369,0.26
6381,0.34
6393,0.17
6406,0
6418,0
6431,0
6444,0
6456,0
6468,0
6480,0.2
6493,0.18
6506,0
6518,0
6531,0
6543,0.35
6555,0.15
6568,0.13
6581,0.12
6593,0.35
6605,0.02
6618,0
6631,0
6643,0
6656,0.21
6668,0.02
6680,0.23
6692,0.02
6706,0.03
6718,0.16
6730,0.27
6743,0.26
6755,0.13
6768,0.02
6780,0.01
6793,0.14
6805,0
6817,0
6831,0
6843,0
6855,0
6867,0
6880,0.04
6892,0.1
6905,0.36
6918,0.01
6930,0.11
6942,0
6955,0.03
6968,0.01
6980,0.23
6992,0.27
7005,0.26
7017,0.38
7030,0
7043,0.21
7055,0
7067,0.38
7079,0.22
7092,0.12
7105,0.08
7117,0.08
7130,0.13
7142,0.22
7154,0.35
7168,0.09
7180,0
7192,0
7204,0
7217,0
7230,0.02
7242,0
7255,0
7267,0
7279,0.3
7291,0.21
7305,0.3
7317,0.02
7329,0.37
7342,0.21
7354,0
7367,0.1
7379,0.38
7392,0.23
7404,0
7416,0.13
7430,0.08
7442,0.22
7454,0.03
7467,0
7479,0.06
7491,0.1
7504,0.06
7517,0.01
7529,0.01
7541,0.12
7554,0.3
7567,0
7579,0
7591,0
7604,0.29
7616,0
7629,0
7642,0
7654,0.29
7666,0.19
7678,0.31
7691,0.01
7704,0.35
7716,0.13
7729,0.03
7741,0.04
7753,0.25
7767,0.11
