=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 17:27:21 =~=~=~=~=~=~=~=~=~=~=~=,
,0.00.03
226224,0.09
226238,0.25
226252,0.16
226267,0.04
226282,0.38
226296,0.06
22626180,0.19
226194,0.05
226208,0.03
226224,0.09
226238,0.25
226252,0.16
226267,0.04
226282,0.38
226296,0.06
22626180,0.19
226194,0.05
226208,0.03
226224,0.09
226238,0.25
226252,0.16
226267,0.04
226282,0.38
226296,0.06
2260,0
0,0.25
1,0
1,0.21
1,0.11
2,0
2,0.32
3,0.03
7,0
16,0
26,0.36
36,0.32
48,0.17
58,0
68,0.38
78,0.14
89,0.03
99,0.01
110,0.05
121,0
133,0
144,0.01
155,0
166,0.01
179,0.16
190,0.39
201,0
212,0.21
224,0.04
235,0.17
247,0.02
259,0.25
270,0
281,0
292,0
304,0
316,0.38
327,0
338,0
350,0.01
361,0.13
373,0
385,0.31
396,0.15
407,0.3
418,0
430,0.07
442,0.1
453,0
464,0.16
476,0.03
487,0.3
498,0.13
510,0.06
522,0.05
533,0.1
544,0.21
556,0.38
567,0.01
579,0.11
590,0.33
602,0.02
613,0.36
624,0.03
635,0.24
648,0
659,0
670,0
681,0
693,0
704,0
716,0.03
728,0.12
739,0.3
750,0.12
761,0.33
774,0.1
785,0.18
796,0.08
807,0.29
819,0.23
830,0.35
842,0
854,0.21
865,0
876,0.11
887,0.37
899,0.35
911,0.37
922,0.11
933,0
945,0.1
956,0.34
967,0
979,0.22
991,0.02
1002,0.22
1014,0.37
1027,0
1040,0
1052,0
1064,0
1077,0
1089,0.21
1101,0.11
1115,0.38
1127,0
1139,0
1152,0
1164,0.09
1177,0
1189,0.02
1202,0.32
1214,0.06
1226,0
1240,0.03
1252,0.21
1264,0.1
1276,0.12
1289,0.01
1301,0.36
1314,0.27
1327,0.2
1339,0.18
1351,0.21
1363,0.3
1377,0.32
1389,0.04
1401,0.04
1414,0
1426,0
1439,0
1452,0
1464,0
1476,0
1488,0
1501,0
1514,0
1526,0.1
1539,0
1551,0.32
1563,0.26
1576,0
1589,0.38
1601,0.25
1613,0.27
1626,0.27
1639,0
1651,0.3
1664,0.01
1676,0.05
1688,0.38
1700,0.29
1714,0.27
1726,0.3
1738,0.36
1751,0.15
1763,0
1776,0.07
1788,0
1801,0
1813,0
1825,0
1839,0
1851,0
1863,0.32
1875,0.27
1888,0.15
1900,0
1913,0
1926,0.32
1938,0.38
1950,0
1963,0.28
1976,0.12
1988,0.11
2000,0.25
2013,0.1
2025,0.09
2038,0.07
2051,0.29
2063,0.13
2075,0.05
2087,0.03
2100,0.04
2113,0.08
2125,0.18
2138,0.32
2150,0.12
2162,0
2176,0
2188,0
2200,0
2212,0
2225,0
2238,0.21
2250,0.29
2263,0.1
2275,0.02
2287,0.32
2299,0.04
2313,0.29
2325,0.34
2337,0
2350,0.34
2362,0.22
2375,0.26
2387,0.27
2400,0
2412,0.32
2424,0.03
2438,0.02
2450,0.28
2462,0.34
2475,0.32
2487,0.34
2499,0.3
2512,0.05
2525,0
2537,0.12
2549,0
2562,0
2575,0
2587,0
2599,0
2612,0
2624,0.34
2637,0.35
2650,0.23
2662,0
2674,0.02
2686,0.11
2699,0.14
2712,0
2724,0.37
2737,0.21
2749,0.21
2761,0.34
2775,0
2787,0.18
2799,0
2811,0.38
2824,0.23
2837,0.13
2849,0.11
2862,0.11
2874,0.17
2886,0.27
2898,0.32
