=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 16:29:52 =~=~=~=~=~=~=~=~=~=~=~=,
36,
977,0.22
106991,0
107006,0
107021,0.27
10106904,0.02
106918,0.04
106933,0.36
106948,0.31
106962,0.33
106977,0.22
106991,0
107006,0
107021,0.27
100,0.13
0,0
1,0.15
1,0.3
2,0.11
2,0
2,0.21
3,0.28
7,0.15
16,0.24
26,0.12
36,0.03
48,0
58,0
68,0
78,0
89,0
99,0.33
110,0
121,0.12
133,0.04
144,0.2
155,0.27
166,0.08
179,0.38
190,0.22
201,0.39
212,0.01
224,0
235,0
247,0.03
259,0.32
270,0.01
281,0.1
292,0.37
304,0.32
316,0.34
327,0.28
338,0.02
350,0.04
361,0.28
373,0.01
385,0.17
396,0.06
407,0.2
418,0
430,0.35
442,0
453,0
464,0
476,0.3
487,0
498,0
510,0.19
522,0
533,0.11
544,0.14
556,0
567,0.03
579,0.03
590,0.06
602,0.31
613,0.1
624,0
635,0.31
648,0.02
659,0.01
670,0.16
681,0.22
693,0.11
704,0
716,0.03
728,0.24
739,0.11
750,0.08
761,0.28
774,0.07
785,0.15
796,0.18
807,0
819,0
830,0
842,0
854,0
865,0.25
876,0
887,0
899,0
911,0.26
922,0
933,0.27
945,0.05
956,0.09
967,0
979,0
991,0.02
1002,0.3
1014,0.35
1027,0
1040,0.2
1052,0
1064,0.36
1077,0.24
1089,0.14
1101,0.12
1115,0.15
1127,0.23
1139,0.35
1152,0.06
1164,0.01
1177,0
1189,0
1202,0
1214,0
1226,0
1240,0.12
1252,0.06
1264,0.32
1276,0.36
1289,0.32
1301,0.03
1314,0.21
1327,0
1339,0.01
1351,0.28
1363,0.01
1377,0
1389,0
1401,0.13
1414,0.26
1426,0.08
1439,0.04
1452,0.37
1464,0.26
1476,0.21
1488,0.22
1501,0.29
1514,0.37
1526,0.05
1539,0.01
1551,0.21
1563,0
1576,0
1589,0
1601,0
1613,0.01
1626,0
1639,0
1651,0.22
1664,0
1676,0.06
1688,0.02
1700,0.37
1714,0.25
1726,0.33
1738,0.02
1751,0
1763,0.04
1776,0
1788,0.13
1801,0.15
1813,0.16
1825,0
1839,0.03
1851,0.18
1863,0.23
1875,0.15
1888,0.02
1900,0
1913,0.11
1926,0.31
1938,0
1950,0
1963,0
1976,0
1988,0.16
2000,0.35
2013,0.03
2025,0.14
2038,0
2051,0.16
2063,0.17
2075,0.01
2087,0.11
2100,0
2113,0.31
2125,0.14
2138,0.12
2150,0.25
2162,0.08
2176,0.11
2188,0.03
2200,0.34
2212,0.21
2225,0.13
2238,0.12
2250,0.16
2263,0.25
2275,0.38
2287,0.04
2299,0.04
2313,0
2325,0
2337,0
2350,0
2362,0.01
2375,0.18
2387,0
2400,0.13
2412,0.19
2424,0
2438,0
2450,0.24
2462,0.19
2475,0.33
2487,0.06
2499,0
2512,0
2525,0.05
2537,0.3
2549,0
2562,0.37
2575,0.17
2587,0.04
2599,0
2612,0
2624,0.03
2637,0.1
2650,0.23
2662,0.33
2674,0
2686,0
2699,0
2712,0
2724,0.21
2737,0.32
2749,0.26
2761,0
2775,0
2787,0
2799,0.38
2811,0.08
2824,0.21
2837,0.23
2849,0.11
2862,0.19
2874,0.07
2886,0.1
2898,0.27
2912,0.02
2924,0.19
2936,0
2949,0.17
2961,0.35
2974,0.3
2987,0.3
2999,0.35
3011,0.2
3023,0.01
3037,0.05
3049,0.26
3061,0
3074,0
3086,0
3098,0
3111,0
3124,0
3136,0
3148,0.17
3161,0.34
3174,0.21
3186,0.05
3198,0.35
3211,0.14
3223,0.04
3236,0.02
3249,0.05
3261,0
3273,0.08
3286,0.34
3298,0.07
3311,0.02
3323,0.31
3336,0.32
3348,0.29
3360,0.32
3374,0.37
3386,0.09
3398,0
3410,0.13
3423,0
3436,0
3448,0
3461,0
3473,0
3485,0.37
3497,0
3511,0.33
3523,0.11
3535,0.07
3548,0.04
3560,0.16
3573,0.11
3586,0.32
3598,0
3610,0
3622,0.02
3636,0
3648,0.22
3660,0.02
3673,0.28
3685,0.08
3697,0
3710,0
3723,0
3735,0
3747,0.02
3760,0.13
3773,0.31
3785,0.09
3798,0
3810,0
3822,0
3835,0
3848,0
3860,0.07
3872,0
3885,0.27
3897,0.06
3910,0
3922,0.14
3935,0.03
3947,0.33
3959,0.17
3973,0.3
3985,0
3997,0.27
4009,0.37
4022,0.18
4035,0
4047,0.24
4060,0
4072,0.24
4084,0.27
4097,0.18
4110,0.15
4122,0.18
4134,0.25
4147,0.36
4159,0.05
4172,0.01
4185,0
4197,0
4209,0
4221,0
4235,0
4247,0
4259,0
4272,0.31
4284,0
4296,0.15
4310,0.11
4322,0.14
4334,0.36
4346,0.06
4359,0.12
4372,0
4384,0
4397,0.03
4409,0.25
4421,0.01
4434,0.28
4447,0.06
4459,0
4471,0.01
4484,0.03
4496,0
4509,0
4521,0.06
4534,0.21
4546,0.33
4558,0
4572,0
4584,0
4596,0
4609,0
4621,0
4634,0
4646,0.25
4659,0.07
4671,0
4683,0
4696,0
4709,0.05
4721,0
4733,0
4746,0.28
4758,0.04
4771,0
4784,0.04
4796,0.24
4808,0.02
4820,0.21
4834,0
