=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.18 17:01:25 =~=~=~=~=~=~=~=~=~=~=~=,,
4322,0.23,
4334,0.11,
4346,0.32,
4359,0.22,
4372,0.32,
4384,0,
4397,0.38,
4409,0.28,
4421,0.32,
4434,0.1,
4447,0.03,
4459,0.36,
4471,0.11,
4484,0,
4496,0.09,
4509,0.3,
4521,0.38,
4534,0.33,
4546,0.15,
4558,0.01,
4572,0,
4584,0.14,
4596,0,
4609,0,
4621,0,
4634,0,
4646,0,
4659,0,
4671,0.18,
4683,0,
4696,0.03,
4709,0,
4721,0.3,
4733,0.14,
4746,0.26,
4758,0,
4771,0.36,
4784,0.28,
4796,0.34,
4808,0.05,
4820,0.07,
4834,0.23,
4846,0.16,
4858,0,
4871,0.01,
4883,0.11,
4895,0.16,
4909,0.11,
4921,0.02,
4933,0,
4945,0.07,
4958,0.24,
4971,0,
4983,0,
4996,0,
5008,0.22,
5020,0,
5033,0,
5046,0.01,
5058,0.36,
5070,0.08,
5083,0.36,
5095,0,
5108,0.25,
5121,0.08,
5133,0.05,
5145,0.02,
5157,0.23,
5171,0.12,
5183,0,
5195,0.17,
5208,0.04,
5220,0.25,
5233,0.03,
5245,0,
5258,0.06,
5270,0.11,
5282,0.08,
5295,0.02,
5308,0,
5320,0.09,
5332,0.25,
5345,0,
5357,0,
5370,0,
5383,0.16,
5395,0,
5407,0,
5420,0.05,
5433,0.36,
5445,0.03,
5457,0.31,
5470,0,
5482,0.15,
5494,0.03,
5508,0.08,
5520,0,
5532,0.14,
5544,0.05,
5557,0,
5570,0.21,
5582,0,
5595,0.29,
5607,0.07,
5619,0,
5633,0.02,
5645,0.05,
5657,0.03,
5669,0,
5682,0.01,
5694,0.12,
5707,0.29,
5720,0,
5732,0,
5744,0,
5756,0,
5770,0,
5782,0.03,
5794,0,
5807,0,
5819,0.07,
5832,0.35,
5844,0,
5857,0.06,
5869,0.06,
5881,0.13,
5894,0,
5907,0.32,
5919,0.15,
5932,0.12,
5944,0.23,
5956,0.16,
5969,0.05,
5982,0.2,
5994,0.21,
6006,0.04,
6019,0,
6032,0,
6044,0,
6056,0,
6069,0.01,
6081,0.1,
6093,0.25,
6107,0,
6119,0,
6131,0,
6144,0,
6156,0,
6169,0,
6181,0.32,
6194,0.23,
6206,0,
6218,0,
6232,0.38,
6244,0,
6256,0.31,
6268,0.34,
6281,0,
6293,0.31,
6306,0.16,
6319,0.18,
6331,0.32,
6343,0.02,
6355,0.18,
6369,0,
6381,0.37,
6393,0.23,
6406,0.13,
6418,0.1,
6431,0.1,
6444,0.15,
6456,0.24,
6468,0.37,
6480,0.05,
6493,0,
6506,0,
6518,0,
6531,0,
6543,0.16,
6555,0,
6568,0,
