=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.22 14:05:26 =~=~=~=~=~=~=~=~=~=~=~=
4,
95,0.40,
38608,2.11,
38622,0.60,
38635,0.86,
38649,2.19,
38663,1.32,
38676,0.79,
38689,0.53,
38703,0.44,
38717,0.44,
380,0.66,
0,2.36,
1,1.29,
1,0.52,
2,0.90,
2,2.11,
2,1.03,
3,0.43,
7,1.78,
16,0.02,
26,0.00,
36,0.00,
48,0.01,
58,0.01,
68,0.01,
78,2.08,
89,0.28,
99,1.97,
110,0.13,
121,1.19,
133,0.33,
144,1.22,
155,0.48,
166,1.59,
179,0.85,
190,1.17,
201,2.36,
212,0.40,
224,1.33,
235,1.83,
247,1.39,
259,1.34,
270,1.74,
281,2.27,
292,0.61,
304,0.82,
316,2.43,
327,0.44,
338,2.17,
350,0.51,
361,1.74,
373,1.15,
385,0.45,
396,2.10,
407,1.40,
418,0.57,
430,0.00,
442,0.00,
453,0.01,
464,0.03,
476,0.00,
487,0.04,
498,1.10,
510,0.46,
522,0.38,
533,0.26,
544,1.17,
556,0.68,
567,2.02,
579,0.41,
590,0.30,
602,0.53,
613,1.89,
624,0.35,
635,1.85,
648,1.74,
659,1.38,
670,1.47,
681,1.98,
693,1.42,
704,0.40,
716,1.21,
728,1.27,
739,0.74,
750,1.54,
761,0.96,
774,0.74,
785,1.86,
796,0.65,
807,0.75,
819,2.25,
830,1.22,
842,0.00,
854,0.01,
865,0.05,
876,0.05,
887,0.00,
899,0.13,
911,0.05,
922,0.17,
933,0.31,
945,1.50,
956,0.21,
967,0.43,
979,0.54,
991,0.83,
1002,1.61,
1014,0.94,
1027,0.44,
1040,0.57,
1052,1.41,
1064,1.07,
1077,0.96,
1089,0.59,
1101,2.39,
1115,1.71,
1127,1.33,
1139,1.26,
1152,1.44,
1164,1.90,
1177,2.13,
1189,0.73,
1202,0.54,
1214,1.49,
1226,1.43,
1240,0.50,
1252,0.00,
1264,0.01,
1276,0.01,
1289,0.04,
1301,2.42,
1314,1.56,
1327,0.08,
1339,1.24,
1351,0.41,
1363,0.57,
1377,0.65,
1389,0.92,
1401,1.30,
1414,0.33,
1426,2.26,
1439,1.41,
1452,1.53,
1464,2.43,
1476,0.39,
1488,1.82,
1501,0.46,
1514,0.83,
1526,2.32,
1539,2.07,
1551,1.96,
1563,2.14,
1576,2.19,
1589,0.93,
1601,0.42,
1613,0.93,
1626,2.07,
1639,0.76,
1651,0.79,
1664,0.00,
1676,0.02,
1688,0.03,
