=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.22 14:29:45 =~=~=~=~=~=~=~=~=~=~=~=
17,
43584,0.26,
43597,1.15,
43611,0.43,
43624,0.46,
43638,2.43,
416,0.05,
43530,1.20,
43543,0.09,
43556,1.95,
43571,0.17,
43584,0.26,
43597,1.15,
43611,0.43,
43624,0.46,
43638,2.43,
40,2.47,
0,1.09,
1,0.40,
1,1.69,
2,1.41,
2,0.45,
2,1.02,
3,1.76,
7,2.08,
16,2.14,
26,0.41,
36,2.45,
48,0.89,
58,0.61,
68,2.49,
78,1.43,
89,0.71,
99,0.43,
110,0.66,
121,1.43,
133,0.61,
144,1.75,
155,0.45,
166,0.00,
179,0.01,
190,0.04,
201,0.12,
212,0.02,
224,0.04,
235,0.66,
247,1.99,
259,0.17,
270,0.82,
281,0.28,
292,0.32,
304,2.29,
316,1.04,
327,0.96,
338,1.77,
350,0.80,
361,1.19,
373,0.39,
385,1.21,
396,2.49,
407,2.32,
418,2.37,
430,1.17,
442,0.47,
453,0.77,
464,2.00,
476,0.70,
487,1.03,
498,1.44,
510,0.79,
522,1.47,
533,1.00,
544,0.82,
556,1.68,
567,0.00,
579,0.02,
590,0.01,
602,0.03,
613,0.07,
624,0.05,
635,0.39,
648,1.35,
659,0.85,
670,2.22,
681,0.94,
693,1.67,
704,0.43,
716,1.56,
728,1.67,
739,0.62,
750,0.83,
761,1.06,
774,1.58,
785,0.70,
796,0.43,
807,0.41,
819,0.49,
830,0.85,
842,1.63,
854,1.74,
865,0.43,
876,1.36,
887,1.11,
899,0.83,
911,1.62,
922,0.84,
933,1.15,
945,1.28,
956,0.50,
967,0.01,
979,0.00,
991,0.02,
1002,0.53,
1014,0.09,
1027,0.67,
1040,1.42,
1052,1.02,
1064,0.42,
1077,1.04,
1089,0.29,
1101,0.55,
1115,0.29,
1127,1.61,
1139,0.39,
1152,0.43,
1164,0.36,
1177,0.73,
1189,2.15,
1202,0.39,
1214,2.24,
1226,0.82,
1240,0.46,
1252,1.07,
1264,2.12,
1276,2.37,
1289,2.34,
1301,2.49,
1314,1.57,
1327,0.86,
1339,0.44,
1351,0.70,
1363,0.00,
1377,0.01,
1389,0.01,
1401,0.01,
1414,0.03,
1426,0.02,
1439,0.17,
1452,0.91,
1464,0.58,
1476,0.30,
1488,0.25,
1501,2.18,
1514,1.47,
1526,2.41,
1539,0.33,
1551,1.01,
1563,1.76,
1576,1.13,
1589,0.40,
1601,1.28,
1613,0.82,
1626,1.55,
1639,0.46,
1651,0.79,
1664,1.97,
1676,2.21,
1688,1.98,
1700,1.99,
1714,2.21,
1726,2.19,
1738,1.07,
1751,0.50,
1763,0.61,
1776,0.02,
1788,0.02,
1801,0.05,
1813,0.16,
1825,0.58,
1839,2.38,
1851,1.44,
1863,1.37,
1875,1.41,
1888,1.66,
1900,1.30,
1913,1.62,
1926,0.85,
1938,1.53,
1950,0.83,
1963,0.89,
1976,1.60,
1988,1.23,
2000,0.65,
2013,1.42,
2025,1.31,
2038,0.45,
2051,0.67,
2063,1.26,
2075,1.91,
2087,2.13,
2100,1.78,
2113,1.18,
2125,0.71,
2138,0.44,
2150,0.79,
2162,0.01,
2176,0.02,
2188,0.00,
2200,0.02,
2212,1.83,
2225,0.06,
2238,1.63,
2250,2.18,
2263,1.51,
2275,0.22,
2287,0.63,
2299,0.59,
2313,0.59,
2325,0.60,
2337,1.02,
2350,2.23,
2362,2.16,
2375,1.61,
2387,0.40,
2400,1.49,
2412,0.54,
2424,2.16,
2438,0.94,
2450,0.43,
2462,0.63,
2475,0.89,
2487,1.01,
2499,0.92,
2512,0.69,
2525,0.44,
2537,0.59,
2549,1.14,
2562,0.00,
2575,0.01,
2587,0.02,
2599,0.06,
2612,0.05,
2624,0.11,
2637,1.49,
2650,0.28,
2662,0.84,
2674,0.74,
2686,1.20,
2699,2.38,
2712,0.90,
2724,0.87,
2737,0.40,
2749,0.61,
2761,0.42,
2775,0.71,
2787,2.25,
2799,0.40,
2811,2.34,
2824,1.14,
2837,0.44,
2849,0.63,
2862,1.01,
2874,1.29,
2886,1.27,
2898,1.00,
2912,0.67,
2924,0.44,
2936,0.72,
2949,1.40,
2961,0.00,
2974,0.03,
2987,0.01,
2999,0.01,
3011,2.36,
3023,0.07,
3037,1.83,
3049,2.14,
3061,1.50,
3074,0.21,
3086,0.65,
3098,0.57,
3111,0.56,
3124,0.64,
3136,0.96,
3148,2.31,
3161,2.23,
3174,1.45,
3186,0.38,
3198,1.57,
3211,0.48,
3223,2.24,
3236,1.02,
3249,0.45,
3261,0.55,
3273,0.80,
3286,0.91,
3298,0.83,
3311,0.62,
3323,0.43,
3336,0.65,
3348,1.24,
3360,0.00,
3374,0.01,
3386,0.01,
3398,0.01,
3410,0.72,
3423,1.85,
3436,1.46,
3448,0.35,
3461,0.19,
3473,0.57,
3485,0.53,
3497,0.37,
3511,0.31,
3523,1.82,
3535,0.44,
3548,0.37,
3560,0.35,
3573,0.75,
3586,2.15,
3598,0.39,
3610,2.19,
3622,0.75,
3636,0.50,
3648,1.24,
3660,2.50,
3673,2.19,
3685,2.13,
3697,2.30,
3710,2.09,
3723,1.09,
3735,0.53,
3747,0.56,
3760,0.02,
3773,0.02,
3785,0.01,
3798,0.03,
3810,0.23,
3822,1.23,
3835,1.61,
3848,0.16,
3860,0.82,
3872,0.46,
3885,2.40,
3897,1.48,
3910,2.27,
3922,0.32,
3935,1.59,
3947,2.29,
3959,2.28,
3973,0.73,
3985,0.72,
3997,1.93,
4009,0.86,
4022,0.61,
4035,2.23,
4047,1.78,
4060,1.29,
4072,1.07,
4084,1.06,
4097,1.22,
4110,1.56,
4122,2.09,
4134,1.75,
4147,0.70,
4159,0.01,
4172,0.01,
4185,0.00,
4197,0.29,
4209,0.84,
4221,0.77,
4235,2.19,
4247,0.82,
4259,0.63,
4272,2.33,
4284,0.57,
4296,2.41,
4310,1.70,
4322,0.32,
4334,1.70,
4346,2.02,
4359,2.11,
4372,1.40,
4384,0.38,
4397,1.82,
4409,0.39,
4421,1.99,
4434,1.46,
4447,0.73,
4459,0.45,
4471,0.43,
4484,0.44,
4496,0.43,
4509,0.49,
4521,0.76,
4534,1.28,
4546,2.05,
4558,0.01,
4572,0.03,
4584,0.03,
4596,0.08,
4609,1.78,
4621,1.21,
4634,0.49,
4646,0.44,
4659,0.93,
4671,1.13,
4683,0.59,
4696,0.95,
4709,0.31,
4721,2.01,
4733,0.85,
4746,0.63,
4758,1.01,
4771,2.11,
4784,0.54,
4796,1.55,
4808,0.40,
4820,1.64,
4834,1.77,
4846,1.10,
4858,0.75,
4871,0.64,
4883,0.66,
4895,0.83,
4909,1.17,
4921,1.70,
4933,2.45,
4945,0.95,
4958,0.00,
4971,0.04,
4983,0.01,
4996,0.01,
5008,0.82,
5020,1.11,
5033,1.54,
5046,0.46,
5058,1.02,
5070,0.59,
5083,1.62,
5095,1.46,
5108,1.63,
5121,0.74,
5133,0.35,
5145,0.46,
5157,0.40,
5171,1.27,
5183,1.21,
5195,0.93,
5208,0.70,
5220,2.24,
5233,1.26,
5245,0.72,
5258,0.50,
5270,0.45,
5282,0.47,
5295,0.59,
5308,0.88,
5320,1.38,
5332,2.11,
5345,1.33,
5357,0.01,
5370,0.01,
5383,0.01,
5395,0.01,
5407,1.30,
5420,0.64,
5433,2.10,
5445,0.89,
5457,0.59,
5470,0.33,
5482,2.19,
5494,2.01,
5508,0.85,
5520,1.21,
5532,0.43,
5544,0.38,
5557,0.70,
5570,1.81,
5582,0.67,
5595,1.42,
5607,0.40,
5619,1.70,
5633,1.80,
5645,1.15,
5657,0.83,
5669,0.72,
5682,0.77,
5694,0.97,
5707,1.35,
5720,1.92,
5732,2.02,
5744,0.74,
5756,0.01,
5770,0.01,
5782,0.05,
5794,2.02,
5807,0.04,
5819,0.69,
5832,1.14,
5844,2.40,
5857,0.64,
5869,1.59,
5881,0.29,
5894,0.35,
5907,1.58,
5919,0.33,
5932,0.85,
5944,0.92,
5956,0.48,
5969,0.84,
5982,2.08,
5994,0.68,
6006,0.93,
6019,2.01,
6032,1.11,
6044,0.64,
6056,0.47,
6069,0.44,
6081,0.47,
6093,0.59,
6107,0.90,
6119,1.43,
6131,2.18,
6144,0.01,
6156,0.02,
6169,0.03,
6181,0.05,
6194,1.50,
