=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.22 14:02:35 =~=~=~=~=~=~=~=~=~=~=~=
0.170.40,
45544,1.86,
45557,1.,
45436,1.49,
45450,0.65,
45463,0.56,
45476,0.97,
45490,2.06,
45504,0.53,
45517,1.54,
45531,0.40,
45544,1.86,
45557,1.50,0.75,
0,0.56,
1,2.34,
1,1.33,
2,0.47,
2,0.85,
2,1.97,
3,0.92,
7,2.41,
16,0.44,
26,0.46,
36,0.45,
48,0.42,
58,0.50,
68,0.76,
78,1.23,
89,1.87,
99,1.84,
110,0.31,
121,0.01,
133,0.03,
144,0.01,
155,0.01,
166,0.02,
179,1.24,
190,0.10,
201,0.12,
212,0.67,
224,0.38,
235,1.22,
247,1.24,
259,0.27,
270,0.82,
281,0.91,
292,0.36,
304,1.43,
316,0.36,
327,1.27,
338,2.31,
350,2.25,
361,1.81,
373,0.68,
385,0.53,
396,1.75,
407,0.64,
418,1.26,
430,0.66,
442,1.67,
453,0.46,
464,1.31,
476,1.58,
487,0.65,
498,0.53,
510,1.49,
522,1.99,
533,0.01,
544,0.01,
556,0.02,
567,0.04,
579,0.01,
590,0.06,
602,0.62,
613,0.91,
624,1.62,
635,2.31,
648,1.99,
659,0.21,
670,0.24,
681,1.52,
693,0.41,
704,0.40,
716,1.16,
728,1.05,
739,1.18,
750,0.38,
761,0.46,
774,0.49,
785,0.38,
796,0.75,
807,1.80,
819,0.81,
830,0.83,
842,1.58,
854,0.82,
865,0.93,
876,1.53,
887,0.47,
899,1.06,
911,1.90,
922,0.97,
933,0.45,
945,0.71,
956,0.01,
967,0.01,
979,0.00,
991,0.03,
1002,0.05,
1014,0.07,
1027,0.08,
1040,0.08,
1052,0.56,
1064,2.23,
1077,0.26,
1089,0.97,
1101,0.30,
1115,0.29,
1127,1.84,
1139,0.58,
1152,0.41,
1164,0.79,
1177,2.04,
1189,0.39,
1202,2.21,
1214,0.96,
1226,0.43,
1240,0.42,
1252,0.44,
1264,0.40,
1276,0.54,
1289,1.07,
1301,1.99,
1314,0.92,
1327,0.55,
1339,1.77,
1351,0.71,
1363,1.05,
1377,0.02,
1389,0.04,
1401,0.01,
1414,0.02,
1426,1.77,
1439,0.11,
1452,0.26,
1464,1.56,
1476,0.19,
1488,2.09,
1501,0.86,
1514,1.40,
1526,1.65,
1539,0.67,
1551,1.91,
1563,1.48,
1576,1.97,
1589,0.83,
1601,0.84,
1613,0.80,
1626,1.91,
1639,1.08,
1651,0.70,
1664,0.63,
1676,0.76,
1688,1.15,
1700,1.83,
1714,1.50,
1726,0.43,
1738,1.07,
1751,2.28,
1763,0.44,
1776,1.67,
1788,0.01,
1801,0.02,
1813,0.01,
1825,0.01,
1839,0.01,
1851,0.15,
1863,1.48,
1875,0.81,
1888,0.47,
1900,2.33,
1913,2.39,
1926,0.43,
1938,0.40,
1950,1.70,
1963,0.33,
1976,0.43,
1988,0.34,
2000,0.91,
2013,1.77,
2025,0.77,
2038,0.60,
2051,1.95,
2063,2.03,
2075,1.83,
2087,1.96,
2100,2.39,
2113,1.07,
2125,0.42,
2138,0.87,
2150,2.06,
2162,0.65,
2176,0.96,
2188,1.94,
2200,0.01,
2212,0.04,
2225,0.04,
2238,0.06,
2250,0.03,
2263,1.16,
2275,0.07,
2287,1.20,
2299,0.49,
2313,0.39,
2325,0.48,
2337,1.06,
2350,1.37,
2362,0.30,
2375,2.41,
2387,1.76,
2400,2.07,
2412,0.91,
2424,0.66,
2438,1.22,
2450,1.44,
2462,0.63,
2475,0.40,
2487,0.40,
2499,0.40,
2512,0.51,
2525,0.95,
2537,1.76,
2549,1.32,
2562,0.43,
2575,1.37,
2587,1.18,
2599,0.65,
2612,0.02,
2624,0.01,
2637,0.04,
2650,0.04,
2662,1.22,
2674,1.24,
2686,0.08,
2699,1.54,
2712,0.24,
2724,1.21,
2737,1.50,
2749,0.28,
2761,0.31,
2775,1.12,
2787,0.40,
2799,0.73,
2811,0.53,
2824,0.58,
2837,2.25,
2849,0.52,
2862,0.86,
2874,2.26,
2886,1.69,
2898,1.50,
2912,1.63,
2924,2.05,
2936,1.61,
2949,0.59,
2961,0.67,
2974,1.78,
2987,0.87,
2999,0.75,
3011,2.35,
3023,0.00,
3037,0.01,
3049,0.04,
3061,0.03,
3074,2.39,
3086,0.08,
3098,0.16,
3111,2.02,
3124,0.40,
3136,1.16,
3148,0.59,
3161,1.79,
3174,2.02,
3186,0.48,
3198,2.25,
3211,1.79,
3223,2.28,
3236,0.64,
3249,1.06,
3261,0.64,
3273,2.15,
3286,1.26,
3298,0.84,
3311,0.74,
3323,0.87,
3336,1.27,
3348,1.94,
3360,1.31,
3374,0.43,
3386,1.12,
3398,2.14,
3410,0.44,
3423,1.69,
3436,0.01,
3448,0.04,
3461,0.01,
3473,0.01,
3485,0.02,
3497,0.15,
3511,2.31,
3523,1.17,
3535,0.56,
3548,0.46,
3560,0.31,
3573,0.58,
3586,0.34,
3598,1.51,
3610,0.45,
3622,0.37,
3636,0.76,
3648,2.07,
3660,0.37,
3673,2.32,
3685,1.08,
3697,0.51,
3710,0.40,
3723,0.40,
3735,0.43,
3747,0.67,
3760,1.27,
3773,2.23,
3785,0.74,
3798,0.67,
3810,1.98,
3822,0.57,
3835,0.00,
3848,0.04,
3860,0.02,
3872,0.01,
3885,0.02,
3897,0.01,
3910,2.16,
3922,0.11,
3935,0.40,
3947,1.48,
3959,0.26,
3973,0.31,
3985,1.83,
3997,1.60,
4009,1.03,
4022,1.19,
4035,0.63,
4047,0.84,
4060,1.82,
4072,0.60,
4084,1.53,
4097,0.42,
4110,0.73,
4122,1.50,
4134,2.16,
4147,1.89,
4159,1.11,
4172,0.58,
4185,0.53,
4197,1.35,
4209,2.02,
4221,0.42,
4235,1.37,
4247,1.04,
4259,0.01,
4272,0.00,
4284,0.04,
4296,0.02,
4310,0.05,
4322,0.87,
4334,0.95,
4346,1.96,
4359,0.29,
4372,0.27,
4384,2.00,
4397,1.17,
4409,1.36,
4421,1.75,
4434,0.55,
4447,2.22,
4459,1.84,
4471,2.42,
4484,0.53,
4496,1.26,
4509,0.49,
4521,2.37,
4534,1.59,
4546,1.15,
4558,1.05,
4572,1.22,
4584,1.67,
4596,2.41,
4609,0.78,
4621,0.52,
4634,1.54,
4646,1.09,
4659,0.63,
4671,2.16,
4683,0.00,
4696,0.03,
4709,0.06,
4721,0.04,
4733,1.86,
4746,0.11,
4758,2.40,
4771,2.30,
4784,2.23,
4796,0.91,
4808,2.12,
4820,1.49,
4834,2.34,
4846,0.32,
4858,0.71,
4871,0.81,
4883,0.39,
4895,1.08,
4909,0.90,
4921,1.47,
4933,0.52,
4945,0.45,
4958,0.69,
4971,0.72,
4983,0.57,
4996,0.43,
5008,0.82,
5020,1.70,
5033,1.29,
5046,0.45,
5058,1.53,
5070,0.91,
5083,0.00,
5095,0.01,
5108,0.02,
5121,0.01,
5133,0.43,
5145,0.35,
5157,0.07,
5171,0.32,
5183,2.34,
5195,0.53,
5208,0.70,
5220,0.94,
5233,0.67,
5245,1.93,
5258,0.35,
5270,0.48,
5282,0.41,
5295,0.66,
5308,2.27,
5320,0.47,
5332,1.08,
5345,1.96,
5357,1.35,
5370,1.11,
5383,1.17,
5395,1.50,
5407,2.12,
5420,1.16,
5433,0.42,
5445,1.07,
5457,2.45,
5470,0.43,
5482,1.47,
5494,0.00,
5508,0.00,
5520,0.01,
5532,0.02,
5544,0.02,
5557,0.01,
5570,2.28,
5582,2.14,
5595,0.13,
5607,0.61,
5619,0.97,
5633,1.70,
5645,0.31,
5657,0.47,
5669,2.12,
5682,0.68,
5694,0.42,
5707,0.74,
5720,1.90,
5732,0.48,
